rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,review_density,norm_review_density,scraped_at
1,1,Best Sellers in Grocery & Gourmet Food,Grocery & Gourmet Food,Grocery,Gourmet Food,"CELSIUS Sparkling Orange, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",B007R8XGJA,https://www.amazon.com/CELSIUS-Sparkling-Orange-Fitness-Drink/dp/B007R8XGJA/ref=zg_bs_g_grocery_d_sccl_1/145-8561872-7371915?psc=1,4.6,96018.0,$14.04,14.04,Mid,96018.0,1.0,2025-10-25
2,1,Best Sellers in Grocery & Gourmet Food,Grocery & Gourmet Food,Grocery,Gourmet Food,"Nespresso Capsules Vertuo, Variety Pack, Medium and Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.8 oz.",B01N05APQY,https://www.amazon.com/Nespresso-Vertuoline-Seller-Assortment-Count/dp/B01N05APQY/ref=zg_bs_g_grocery_d_sccl_2/145-8561872-7371915?psc=1,4.8,123431.0,$42.00,42.0,High,61715.5,0.6427117203726884,2025-10-25
3,1,Best Sellers in Grocery & Gourmet Food,Grocery & Gourmet Food,Grocery,Gourmet Food,"Premier Protein Shake, Chocolate, 30g Protein 1g Sugar 24 Vitamins Minerals Nutrients to Support Immune Health, 11.5 fl oz (Pack of 12)",B07MJL8NXR,https://www.amazon.com/Premier-Protein-Shake-Chocolate-11-5/dp/B07MJL8NXR/ref=zg_bs_g_grocery_d_sccl_3/145-8561872-7371915?psc=1,4.6,249884.0,$25.70,25.7,Mid,83294.66666666667,0.8674761933447565,2025-10-25
1,1,Best Sellers in Handmade Products,Handmade Products,Handmade Products,,"Hearth and Homestead: Handmade Whipped Tallow Balm (Unscented/Herb-Infused) - Organic Body Butter with Infused Olive Oil, for Eczema, Rosacea, Baby - 1.3 oz",B0BJMSH4JX,https://www.amazon.com/Hearth-Homestead-Handmade-Whipped-Unscented/dp/B0BJMSH4JX/ref=zg_bs_g_handmade_d_sccl_1/145-8561872-7371915?psc=1,4.7,10650.0,$29.99,29.99,High,10650.0,1.0,2025-10-25
2,1,Best Sellers in Handmade Products,Handmade Products,Handmade Products,,"Sereney Birthday Gifts for Girls, Beaded Bracelets as 1 3 4 5 6 7 8 9 10 11 12 13 15 16 Year Old Birthday Gift, Adjustable Stone/Pearl Bracelet as Happy Birthday Gifts for Daughter Granddaughter Niece",B0D7BG2XS8,https://www.amazon.com/Sereney-Birthday-Adjustable-Bracelets-Granddaughter/dp/B0D7BG2XS8/ref=zg_bs_g_handmade_d_sccl_2/145-8561872-7371915?psc=1,4.8,1576.0,$9.99,9.99,Mid,788.0,0.0739668962926921,2025-10-25
3,1,Best Sellers in Handmade Products,Handmade Products,Handmade Products,,"Sweet Water Decor Cozy Season Soy Candles - Fall Candles with Woods, Warm Spice, and Citrus Scent for Home Decor - Soy Candle with 40 Hours Burn Time - 9Oz Black Lid Amber Jar Candles Fall Scents",B0CBD113LF,https://www.amazon.com/Sweet-Water-Decor-Scented-Candles/dp/B0CBD113LF/ref=zg_bs_g_handmade_d_sccl_3/145-8561872-7371915?psc=1,4.4,1414.0,$19.99,19.99,High,471.3333333333333,0.0442321755287516,2025-10-25
1,1,Best Sellers in Health & Household,Health & Household,Health,Household,"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",B00MNV8E0C,https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00MNV8E0C/ref=zg_bs_g_hpc_d_sccl_1/145-8561872-7371915?psc=1,4.7,875456.0,$14.99,14.99,Mid,875456.0,1.0,2025-10-25
2,1,Best Sellers in Health & Household,Health & Household,Health,Household,"Bounty Quick Size Paper Towels, White, 8 Family Rolls = 20 Regular Rolls (Packaging May Vary)",B07MHJFRBJ,https://www.amazon.com/Bounty-Quick-Size-Towels-Family-Regular/dp/B07MHJFRBJ/ref=zg_bs_g_hpc_d_sccl_2/145-8561872-7371915?psc=1,4.8,289129.0,$24.42,24.42,High,144564.5,0.1650236263672875,2025-10-25
3,1,Best Sellers in Health & Household,Health & Household,Health,Household,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",B07BGLT25K,https://www.amazon.com/Scott-Comfortplus-Toilet-Tissue-Double/dp/B07BGLT25K/ref=zg_bs_g_hpc_d_sccl_3/145-8561872-7371915?psc=1,4.5,110904.0,$6.49,6.49,Low,36968.0,0.0421045126745271,2025-10-25
1,1,Best Sellers in Home & Kitchen,Home & Kitchen,Home,Kitchen,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Denim",B0BZYCJK89,https://www.amazon.com/Owala-FreeSip-Insulated-Stainless-BPA-Free/dp/B0BZYCJK89/ref=zg_bs_g_home-garden_d_sccl_1/145-8561872-7371915?psc=1,4.7,92749.0,$29.99,29.99,High,92749.0,0.4555208889756503,2025-10-25
2,1,Best Sellers in Home & Kitchen,Home & Kitchen,Home,Kitchen,"Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids & Teens - Deep Pockets, Easy Secure Fit, Soft and Wrinkle Free - Oeko-Tex - White",B01M16WBW1,https://www.amazon.com/Queen-Size-Piece-Sheet-Set/dp/B01M16WBW1/ref=zg_bs_g_home-garden_d_sccl_2/145-8561872-7371915?psc=1,4.4,407175.0,$24.99,24.99,Mid,203587.5,1.0,2025-10-25
3,1,Best Sellers in Home & Kitchen,Home & Kitchen,Home,Kitchen,"Barossa Design Plastic Shower Liner Clear - Premium PEVA Shower Curtain Liner with Rustproof Grommets and 3 Magnets, Waterproof Cute Lightweight Standard Size Bathroom Curtains - Clear",B08QRFZ6TH,https://www.amazon.com/Plastic-Shower-Liner-Clear-Chemical/dp/B08QRFZ6TH/ref=zg_bs_g_home-garden_d_sccl_3/145-8561872-7371915?psc=1,4.5,86785.0,$8.95,8.95,Low,28928.33333333333,0.1420105126023863,2025-10-25
1,1,Best Sellers in Industrial & Scientific,Industrial & Scientific,Industrial,Scientific,"MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100",B00GS8W3T4,https://www.amazon.com/MedPride-Powder-Free-Nitrile-Gloves-Medium/dp/B00GS8W3T4/ref=zg_bs_g_industrial_d_sccl_1/145-8561872-7371915?psc=1,4.7,100802.0,$9.99,9.99,Mid,100802.0,1.0,2025-10-25
