rank;page;category;title;link;rating;review_count;price;move_%;sales_rank_now;sales_rank_was
2;1;Movers & Shakers in Automotive;Termitor Latest H4/9003/HB2 Bulbs, 75,000LM 12X Ultra Brighter, 6500K Cool White, Real 1:1 Mini Size, H4 Fog Lights with Cooling Fan, Plug and Play, Pack of 2;https://www.amazon.com/Termitor-H4-9003-HB2-Brighter/dp/B0FT11M5GF/ref=zg_bsms_g_automotive_d_sccl_2/136-5094779-5527625?psc=1;4.6 out of 5 stars;832;$31.85 (converted);;;
3;1;Movers & Shakers in Automotive;Termitor Upgraded H4/9003 Light bulb Hi/Low Beam,50000LM 900% Super Brighter, 6500K Cool White, HB2 Fog Light Bulbs with Cooling Fan, 1:1 Mini Halogen Size, Plug and Play, Pack of 2;https://www.amazon.com/Termitor-Upgraded-H4-9003-Brighter/dp/B0F9NN8FM2/ref=zg_bsms_g_automotive_d_sccl_3/136-5094779-5527625?psc=1;4.6 out of 5 stars;317;$39.82 (converted);;;
1;1;Movers & Shakers in Baby;Yoofoss Hooded Baby Towels for Newborn 2 Pack 100% Muslin Organic Cotton Baby Bath Towel with Hood for Babies, Infant, Toddler and Kids, 32x32Inch, Soft and Absorbent Newborn Essential,Alpaca&Elephant;https://www.amazon.com/Yoofoss-Toddler-32x32Inch-Absorbent-Essential/dp/B0BTHPXGJ2/ref=zg_bsms_g_baby-products_d_sccl_1/136-5094779-5527625?psc=1;4.8 out of 5 stars;3,158;$23.90 (converted);;;
2;1;Movers & Shakers in Baby;Ms. Rachel Official Huggable Lovey, Double Sided, Machine Washable Security Blankets for Babies Ages 0-1+;https://www.amazon.com/Ms-Rachel-6072301-Plush/dp/B0CTHWL2RB/ref=zg_bsms_g_baby-products_d_sccl_2/136-5094779-5527625?psc=1;4.8 out of 5 stars;456;$4.32 (converted);85.0;150.0;278.0
3;1;Movers & Shakers in Baby;Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 1 Pack Cozy Red;https://www.amazon.com/Momcozy-Personalized-Multi-Modes-Breastmilk-Independently/dp/B0D12BQG5X/ref=zg_bsms_g_baby-products_d_sccl_3/136-5094779-5527625?psc=1;4.3 out of 5 stars;2,714;$135.46 (converted);17.0;371.0;437.0
1;1;Movers & Shakers in Beauty & Personal Care;Dial Antibacterial Foaming Hand Soap Refill, Fresh Pear, 52 fl oz;https://www.amazon.com/Dial-Complete-Antibacterial-Foaming-Refill/dp/B07Z7XTQKZ/ref=zg_bsms_g_beauty_d_sccl_1/136-5094779-5527625?psc=1;4.6 out of 5 stars;18,782;$10.34 (converted);;;
2;1;Movers & Shakers in Beauty & Personal Care;L'Oreal Paris Elvive Dream Lengths No Haircut Cream Leave In Conditioner, 6.8 fl. oz.;https://www.amazon.com/LOreal-Paris-Conditioner-Vitamins-Breakage/dp/B07X7HPYNS/ref=zg_bsms_g_beauty_d_sccl_2/136-5094779-5527625?psc=1;4.5 out of 5 stars;16,344;$7.14 (converted);304.0;107.0;433.0
3;1;Movers & Shakers in Beauty & Personal Care;Amazon Basics Cotton Swabs for Personal Hygiene and Baby Care, 2000 Count, 4 Pack of 500 Count;https://www.amazon.com/Amazon-Basics-Cotton-Previously-Solimo/dp/B09498GV6R/ref=zg_bsms_g_beauty_d_sccl_3/136-5094779-5527625?psc=1;4.7 out of 5 stars;62,158;$2.21 (converted);200.0;1.0;3.0
1;1;Movers & Shakers in Books;Everything's Good: Cozy Classics You'll Cook Always and Forever: A Cookbook;https://www.amazon.com/Everythings-Good-Classics-Forever-Cookbook/dp/0593800788/ref=zg_bsms_g_books_d_sccl_1/136-5094779-5527625?psc=1;;;$21.09 (converted);947.0;40.0;419.0
2;1;Movers & Shakers in Books;Sisters Loved and Treasured: Stories of Unbreakable Bonds;https://www.amazon.com/Sisters-Loved-Treasured-Stories-Unbreakable/dp/1368115810/ref=zg_bsms_g_books_d_sccl_2/136-5094779-5527625?psc=1;;;$23.58 (converted);617.0;223.0;
3;1;Movers & Shakers in Books;Born Lucky: A Dedicated Father, A Grateful Son, and My Journey with Autism;https://www.amazon.com/Born-Lucky-Dedicated-Grateful-Journey/dp/140025468X/ref=zg_bsms_g_books_d_sccl_3/136-5094779-5527625?psc=1;4.8 out of 5 stars;322;$26.29 (converted);232.0;100.0;332.0
1;1;Movers & Shakers in CDs & Vinyl;Identity Crisis 25th Anniversary Ghostly Blue;https://www.amazon.com/Identity-Crisis-25th-Anniversary-Ghostly/dp/B0FW9RBSKV/ref=zg_bsms_g_music_d_sccl_1/136-5094779-5527625?psc=1;;;$29.86 (converted);;;
2;1;Movers & Shakers in CDs & Vinyl;Road Trips Vol. 4 No. 3: Denver '73 (Live) (Amazon Exclusive);https://www.amazon.com/Road-Trips-Vol-No-Exclusive/dp/B0FBS3H5H4/ref=zg_bsms_g_music_d_sccl_2/136-5094779-5527625?psc=1;4.9 out of 5 stars;51;$87.15 (converted);;;
3;1;Movers & Shakers in CDs & Vinyl;Where I've Been, Isn't Where I'm Going;https://www.amazon.com/Where-Ive-Been-Isnt-Going/dp/B0D1KVRCFZ/ref=zg_bsms_g_music_d_sccl_3/136-5094779-5527625?psc=1;4.7 out of 5 stars;769;$23.89 (converted);;;
1;1;Movers & Shakers in Camera & Photo Products;12x56 High Power Monocular Telescope for Adults | Comes with Smartphone Adapter Tripod Travel Bag | Bird Watching Hunting Hiking Camping Gift - Green;https://www.amazon.com/12x56-Monocular-Telescope-Smartphone-Monoculars/dp/B0B6FRRCKC/ref=zg_bsms_g_photo_d_sccl_1/136-5094779-5527625?psc=1;4.4 out of 5 stars;847;$89.64 (converted);;;
2;1;Movers & Shakers in Camera & Photo Products;Celestron SkyMaster 25x100 Binoculars – Giant Aperture Binoculars for Deep-Sky Astronomy & Long-Distance Viewing – Multi-Coated Optics – Includes Tripod Adapter & Carrying Case;https://www.amazon.com/Celestron-SkyMaster-25X100-Binoculars-carrying/dp/B00008Y0VU/ref=zg_bsms_g_photo_d_sccl_2/136-5094779-5527625?psc=1;4.1 out of 5 stars;912;$402.13 (converted);78.0;230.0;411.0
3;1;Movers & Shakers in Camera & Photo Products;Upcheirna 20x50 High Power Binoculars with Focus Adjustment &Lens Protection for Long-Distance Viewing, Low Light Night Vision, Lightweight & Portable HD for Adults, Bird Watching,Hunting (Black);https://www.amazon.com/Upcheirna-Binoculars-Lightweight-Portable-Watching/dp/B0DSVPJQLC/ref=zg_bsms_g_photo_d_sccl_3/136-5094779-5527625?psc=1;4.0 out of 5 stars;13;$25.89 (converted);76.0;140.0;247.0
1;1;Movers & Shakers in Cell Phones & Accessories;FNTCASE for iPhone SE 3rd(2022) Case: iPhone SE 2nd(2020) Case Magnetic Military Grade Drop Protection Anti Yellowing Cell Phone Cover - Shockproof Protective Transparent Cases - 4.7 inch (A-Clear);https://www.amazon.com/FNTCASE-iPhone-SE-3rd-Case/dp/B0DCS8J2KL/ref=zg_bsms_g_wireless_d_sccl_1/136-5094779-5527625?psc=1;4.7 out of 5 stars;31,223;$5.67 (converted);;;
2;1;Movers & Shakers in Cell Phones & Accessories;Temdan for iPhone 11 Case, Compatible with Magsafe, Anti-Yellowing, Military-Grade Protection, Shockproof Slim Magnetic Phone Case Cover, Black;https://www.amazon.com/Temdan-Military-Grade-Anti-Fingerprint-Anti-Scratch-Translucent/dp/B0DL37JN15/ref=zg_bsms_g_wireless_d_sccl_2/136-5094779-5527625?psc=1;4.6 out of 5 stars;10,532;$7.96 (converted);;;
3;1;Movers & Shakers in Cell Phones & Accessories;PEHAEL 2Pack for iPhone 11 Pro Max/iPhone Xs Max Privacy Screen Protector Anti-Spy Tempered Glass Film 9H Hardness Easy Installation Bubble Free [6.5 inch];https://www.amazon.com/pehael-Pro-Max-6-5-inch/dp/B07GW9775X/ref=zg_bsms_g_wireless_d_sccl_3/136-5094779-5527625?psc=1;4.4 out of 5 stars;156,121;$5.96 (converted);;;
