rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,move_pct,sales_rank_now,sales_rank_was,sales_rank_change,sales_rank_change_abs,move_direction,review_density,norm_review_density,scraped_at
2,1,Movers & Shakers in Baby,Baby,Baby,,"Ms. Rachel Official Huggable Lovey, Double Sided, Machine Washable Security Blankets for Babies Ages 0-1+",B0CTHWL2RB,https://www.amazon.com/Ms-Rachel-6072301-Plush/dp/B0CTHWL2RB/ref=zg_bsms_g_baby-products_d_sccl_2/136-5094779-5527625?psc=1,4.8,456.0,$4.32 (converted),4.32,Low,85.0,150.0,278.0,128.0,128.0,up,228.0,0.031645697120819,2025-10-25
3,1,Movers & Shakers in Baby,Baby,Baby,,"Momcozy Breast Pump Hands Free Upgraded Mobile Flow | M9, App Discreet Control with Personalized Multi-Modes & 15 Levels, Wearable Breast Pump 24mm, 1 Pack Cozy Red",B0D12BQG5X,https://www.amazon.com/Momcozy-Personalized-Multi-Modes-Breastmilk-Independently/dp/B0D12BQG5X/ref=zg_bsms_g_baby-products_d_sccl_3/136-5094779-5527625?psc=1,4.3,2714.0,$135.46 (converted),135.46,High,17.0,371.0,437.0,66.0,66.0,up,904.6666666666666,0.1270662706291311,2025-10-25
1,1,Movers & Shakers in Beauty & Personal Care,Beauty & Personal Care,Beauty,Personal Care,"Dial Antibacterial Foaming Hand Soap Refill, Fresh Pear, 52 fl oz",B07Z7XTQKZ,https://www.amazon.com/Dial-Complete-Antibacterial-Foaming-Refill/dp/B07Z7XTQKZ/ref=zg_bsms_g_beauty_d_sccl_1/136-5094779-5527625?psc=1,4.6,18782.0,$10.34 (converted),10.34,Mid,,,,,,,18782.0,0.2882108914312289,2025-10-25
2,1,Movers & Shakers in Beauty & Personal Care,Beauty & Personal Care,Beauty,Personal Care,"L'Oreal Paris Elvive Dream Lengths No Haircut Cream Leave In Conditioner, 6.8 fl. oz.",B07X7HPYNS,https://www.amazon.com/LOreal-Paris-Conditioner-Vitamins-Breakage/dp/B07X7HPYNS/ref=zg_bsms_g_beauty_d_sccl_2/136-5094779-5527625?psc=1,4.5,16344.0,$7.14 (converted),7.14,Mid,304.0,107.0,433.0,326.0,326.0,up,8172.0,0.1250099569709744,2025-10-25
3,1,Movers & Shakers in Beauty & Personal Care,Beauty & Personal Care,Beauty,Personal Care,"Amazon Basics Cotton Swabs for Personal Hygiene and Baby Care, 2000 Count, 4 Pack of 500 Count",B09498GV6R,https://www.amazon.com/Amazon-Basics-Cotton-Previously-Solimo/dp/B09498GV6R/ref=zg_bsms_g_beauty_d_sccl_3/136-5094779-5527625?psc=1,4.7,62158.0,$2.21 (converted),2.21,Low,200.0,1.0,3.0,2.0,2.0,up,20719.33333333333,0.318010571955357,2025-10-25
1,1,Movers & Shakers in Books,Books,Books,,Everything's Good: Cozy Classics You'll Cook Always and Forever: A Cookbook,0593800788,https://www.amazon.com/Everythings-Good-Classics-Forever-Cookbook/dp/0593800788/ref=zg_bsms_g_books_d_sccl_1/136-5094779-5527625?psc=1,,,$21.09 (converted),21.09,High,947.0,40.0,419.0,379.0,379.0,up,,,2025-10-25
2,1,Movers & Shakers in Books,Books,Books,,Sisters Loved and Treasured: Stories of Unbreakable Bonds,1368115810,https://www.amazon.com/Sisters-Loved-Treasured-Stories-Unbreakable/dp/1368115810/ref=zg_bsms_g_books_d_sccl_2/136-5094779-5527625?psc=1,,,$23.58 (converted),23.58,High,617.0,223.0,,,,,,,2025-10-25
3,1,Movers & Shakers in Books,Books,Books,,"Born Lucky: A Dedicated Father, A Grateful Son, and My Journey with Autism",140025468X,https://www.amazon.com/Born-Lucky-Dedicated-Grateful-Journey/dp/140025468X/ref=zg_bsms_g_books_d_sccl_3/136-5094779-5527625?psc=1,4.8,322.0,$26.29 (converted),26.29,High,232.0,100.0,332.0,232.0,232.0,up,107.33333333333331,0.0023590401423336,2025-10-25
1,1,Movers & Shakers in CDs & Vinyl,CDs & Vinyl,CDs,Vinyl,Identity Crisis 25th Anniversary Ghostly Blue,B0FW9RBSKV,https://www.amazon.com/Identity-Crisis-25th-Anniversary-Ghostly/dp/B0FW9RBSKV/ref=zg_bsms_g_music_d_sccl_1/136-5094779-5527625?psc=1,,,$29.86 (converted),29.86,Mid,,,,,,,,,2025-10-25
2,1,Movers & Shakers in CDs & Vinyl,CDs & Vinyl,CDs,Vinyl,Road Trips Vol. 4 No. 3: Denver '73 (Live) (Amazon Exclusive),B0FBS3H5H4,https://www.amazon.com/Road-Trips-Vol-No-Exclusive/dp/B0FBS3H5H4/ref=zg_bsms_g_music_d_sccl_2/136-5094779-5527625?psc=1,4.9,51.0,$87.15 (converted),87.15,High,,,,,,,25.5,0.0527626182351698,2025-10-25
